region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
CANARIAS,19560,55,12,6075,3927,9503,2014,681,1333,446,282,63,15,34,52,1153,59759,30658,12614,4614,3609,1743,1628,1061,108,243,1822,4198,1371,7170,68,5,1596,3681,557,3022,102,552,17,1339,1309,3,300,90133,2014
CANTABRIA,3312,4,3,1304,548,1456,356,133,223,74,47,8,4,8,7,64,11701,5436,2550,615,860,532,296,166,27,58,245,1046,589,1672,28,0,428,880,110,740,30,99,1,277,377,0,46,17187,2014
CASTILLA Y LEÓN,13110,44,14,4708,2257,6101,1242,500,742,281,143,33,18,20,67,270,55997,25336,11363,1954,3847,2217,948,568,111,153,757,5092,1874,10879,101,3,1518,3050,380,2589,81,521,9,1004,1228,3,298,77013,2014
CASTILLA - LA MANCHA,11389,47,16,4036,2431,4875,1303,539,764,285,172,35,14,18,46,382,50648,17463,16892,2767,6627,2073,1091,690,95,159,1197,3957,1509,8177,37,4,1830,2975,438,2447,90,804,15,1119,961,2,315,70198,2014
CATALUÑA,36313,197,57,13505,6230,16381,10222,2574,7648,1877,904,457,8,182,326,2294,351985,164413,71452,25644,22825,11,24213,57,642,4,9102,29703,593,37739,421,34,14908,7804,2051,5607,146,3368,67,3405,3908,78,1543,422864,2014
COMUNITAT VALENCIANA,33506,100,32,11396,8763,13247,4413,1721,2692,1143,625,154,63,71,230,1056,187271,80030,47121,12860,21449,5424,6988,4542,569,911,4660,13978,3898,29589,243,30,4632,8470,1651,6469,350,2403,37,4086,4201,6,779,247371,2014
EXTREMADURA,5421,13,4,1936,986,2486,706,305,401,143,72,13,12,9,37,252,19164,8619,4687,877,1407,931,297,174,27,55,379,1344,517,3173,37,1,627,1076,270,753,53,269,2,523,452,2,211,28221,2014
GALICIA,14264,62,20,5147,2559,6496,1761,635,1126,377,227,64,25,18,43,298,53652,23027,12017,2909,4314,2468,1116,632,137,220,1258,4866,1882,9934,73,2,1359,4801,374,4332,95,573,38,1054,1189,8,238,78253,2014
MADRID (COMUNIDAD DE),35230,110,41,12354,11061,11705,3784,1096,2688,1401,752,296,41,73,239,1241,304167,145386,55553,25162,16656,7154,18466,13157,1754,1610,10352,23698,5128,43351,472,36,6853,7092,1599,5207,286,3170,32,3505,4930,9,1038,365599,2014
MURCIA (REGIÓN DE),8920,33,8,3289,2400,3198,1169,301,868,377,207,59,18,14,79,573,37824,15551,11745,2635,5429,1616,1433,930,157,193,1224,2236,581,4668,44,1,922,1534,239,1255,40,469,6,884,677,0,222,52655,2014
NAVARRA (COMUNIDAD FORAL DE),4294,15,1,1484,823,1972,523,113,410,160,107,28,4,5,16,97,19231,8954,3505,691,1133,520,309,203,23,48,244,2064,792,3532,54,1,568,949,196,711,42,294,12,261,627,1,109,26558,2014
PAÍS VASCO,12313,37,10,4537,732,7007,4788,3362,1426,391,218,59,17,28,69,375,63332,28217,16002,37,6007,2615,2136,1415,188,283,667,6994,163,7825,19,3,1469,2656,367,2218,71,829,36,1418,1636,3,454,88231,2014
RIOJA (LA),1527,9,3,603,399,516,194,43,151,40,28,3,5,3,1,36,6352,2725,1676,387,629,210,172,106,17,26,78,444,133,1092,1,2,162,384,62,313,9,73,2,131,163,1,22,8925,2014
CIUDAD AUTÓNOMA DE CEUTA,736,15,6,362,153,206,109,51,58,10,6,0,0,1,3,57,2767,1193,455,315,77,30,189,156,13,8,319,156,64,411,6,1,37,829,567,256,6,399,5,119,168,0,103,5302,2014
CIUDAD AUTÓNOMA DE MELILLA,1057,4,3,523,302,228,82,11,71,31,21,4,0,0,6,34,2627,1116,566,342,87,49,265,233,6,4,179,127,37,321,7,1,45,302,158,134,10,77,3,77,200,4,124,4618,2014
ANDALUCÍA,56840,247,65,19956,12241,24396,7773,3579,4194,1624,907,235,87,86,309,1559,273325,127933,67166,23407,22031,7951,10531,7437,695,1410,9125,15064,4481,36487,971,71,5977,16119,3274,12422,423,3013,103,6347,5666,76,1401,373846,2013
ARAGÓN,6330,14,7,2329,1719,2268,909,387,522,232,116,44,18,14,40,168,32032,14058,6993,1374,2179,1033,1240,790,86,217,504,2397,927,5993,67,7,773,1225,343,803,79,339,20,616,733,3,128,42735,2013
ASTURIAS (PRINCIPADO DE),5617,17,8,2102,1215,2283,513,69,444,119,59,22,7,9,22,144,20834,10060,3348,568,1029,896,766,458,81,130,451,1646,585,3718,23,3,819,1458,189,1219,50,157,8,447,664,1,87,30049,2013
BALEARS (ILLES),9030,33,10,3325,2425,3247,1327,474,853,406,225,87,18,27,49,274,57282,34526,10050,3037,3540,1300,1319,851,78,169,1582,3221,1049,4821,113,4,1646,3052,561,2413,78,405,7,798,1009,1,242,73833,2013
CANARIAS,19224,50,13,6408,4024,8742,2103,708,1395,469,285,78,14,32,60,1117,62970,32519,13661,4598,4001,1809,1818,1208,138,222,1893,3736,1161,8060,82,5,1196,4159,615,3443,101,516,12,1298,1293,4,176,93341,2013
CANTABRIA,3180,5,4,1405,547,1223,331,138,193,55,36,7,0,4,8,54,11875,5940,2432,450,905,543,371,199,45,79,264,803,281,1672,25,0,368,873,92,769,12,99,1,300,410,0,61,17239,2013
CASTILLA Y LEÓN,13015,41,19,4668,2135,6171,1221,484,737,238,150,35,7,15,31,282,58837,28107,12317,2203,3818,2402,1121,709,128,168,790,4138,1403,10914,140,8,1302,3329,380,2886,63,474,8,953,1332,0,215,79904,2013
CASTILLA - LA MANCHA,11134,34,15,3960,2334,4806,1343,563,780,309,177,47,6,11,68,392,53668,18960,18593,3126,7025,2197,1388,849,137,188,1261,3674,1255,8434,55,4,1299,3463,482,2878,103,706,15,1050,1106,2,275,73463,2013
CATALUÑA,35622,178,43,13579,6311,15554,10144,2621,7523,1647,795,415,5,122,310,2358,361187,166537,78187,30795,23636,8,28950,64,1408,6,10426,25363,585,39097,444,34,12149,8111,2064,5928,119,3486,68,3450,4467,83,1291,431914,2013
COMUNITAT VALENCIANA,32380,76,32,11626,8356,12322,4454,1762,2692,1102,567,202,57,59,217,967,201297,84869,53803,15308,23665,5681,9141,5974,770,1138,5119,12428,3133,31442,302,50,4143,8696,1872,6460,364,2102,31,4054,4333,8,864,260288,2013
EXTREMADURA,5210,17,7,1926,980,2287,663,320,343,147,88,27,6,8,18,251,20336,9523,5079,971,1439,965,390,206,48,81,402,1048,330,3269,48,0,577,1233,306,889,38,237,3,603,463,3,189,29338,2013
GALICIA,14182,50,15,5337,2645,6150,1667,635,1032,340,196,69,18,17,40,236,56486,24200,13303,3302,4563,2696,1338,668,150,346,1435,4168,1518,10771,112,3,1156,5145,409,4497,239,573,21,1022,1323,6,236,81237,2013
MADRID (COMUNIDAD DE),35149,90,37,12860,10396,11803,3797,1114,2683,1320,710,267,46,67,230,1232,317363,151459,59488,29116,15924,7347,21921,15807,2013,1829,12333,21601,4625,44149,709,34,5669,7690,1737,5688,265,2823,24,3553,5168,10,985,379114,2013
MURCIA (REGIÓN DE),8457,26,5,3209,2319,2903,1128,306,822,288,152,55,4,10,67,493,40564,17166,12637,2898,5878,1372,1690,1073,150,246,1422,2047,428,4730,69,8,795,1666,317,1301,48,405,8,783,673,1,158,54624,2013
NAVARRA (COMUNIDAD FORAL DE),3712,15,4,1321,660,1716,748,118,630,119,76,14,13,1,15,119,17447,8231,3310,741,1058,473,354,219,23,60,268,1540,612,3218,70,0,456,647,137,489,21,227,23,198,510,1,160,23911,2013
PAÍS VASCO,12268,41,13,4643,743,6841,4680,3251,1429,397,258,62,7,19,51,498,65419,28484,17789,41,5753,2848,2733,1743,314,364,733,6312,195,7967,15,1,1385,2787,345,2405,37,799,24,1470,1839,5,413,90599,2013
RIOJA (LA),1462,7,0,632,369,454,165,38,127,37,22,6,4,3,2,32,7086,2943,2066,446,823,262,211,137,17,43,134,482,122,1089,3,0,158,396,69,317,10,52,0,115,196,0,23,9564,2013
CIUDAD AUTÓNOMA DE CEUTA,743,17,2,404,110,212,143,81,62,16,10,1,1,0,4,55,3046,1260,615,397,80,83,223,169,13,25,403,94,32,416,2,0,33,1163,894,261,8,301,5,125,168,0,85,5850,2013
CIUDAD AUTÓNOMA DE MELILLA,879,4,1,474,226,175,89,20,69,38,25,6,2,0,5,22,2834,1192,668,424,82,64,295,251,10,12,221,94,20,327,5,1,31,379,206,158,15,145,6,43,130,1,130,4696,2013
ANDALUCÍA,59894,247,68,20923,12522,26202,7671,3477,4194,1632,926,265,47,85,309,1691,289754,133759,70769,26001,21963,8092,11673,8411,715,1382,11294,15579,4378,41013,830,53,4784,17340,3407,13440,493,3211,67,6422,5800,82,1376,394940,2012
ARAGÓN,5987,16,6,2294,1558,2119,914,379,535,215,114,46,8,17,30,148,35860,16318,7806,1857,2229,1305,1460,965,122,223,573,2559,984,6545,52,5,542,1411,262,993,156,329,6,618,759,3,151,46401,2012
ASTURIAS (PRINCIPADO DE),5677,15,6,2200,1280,2182,539,81,458,149,100,19,2,11,17,160,20612,10381,3553,677,1130,867,836,540,71,117,480,1545,475,3429,32,0,356,1545,206,1295,44,204,6,408,781,1,82,30164,2012
BALEARS (ILLES),8966,30,5,3387,2232,3317,1384,506,878,383,211,78,20,13,61,258,58202,33392,11756,3694,4337,1346,1585,1031,101,190,1650,3177,956,5391,83,4,1164,2948,435,2421,92,419,15,781,1003,0,199,74558,2012
CANARIAS,19993,55,15,6839,3935,9164,1983,700,1283,525,325,73,30,38,59,1016,66731,32454,14956,4838,4294,1901,2011,1346,134,248,2168,5267,2118,8721,73,10,1071,4127,614,3406,107,554,21,1329,1497,5,192,97973,2012
CANTABRIA,3292,6,1,1448,534,1304,359,146,213,48,27,9,2,4,6,40,12651,6011,2859,672,1004,603,419,242,43,79,344,708,233,1935,26,2,347,1005,103,887,15,138,2,306,433,0,23,18297,2012
CASTILLA Y LEÓN,13943,48,15,5410,2171,6314,1220,480,740,309,181,46,7,26,49,290,61485,28694,13456,2333,3940,2480,1199,738,131,179,976,4130,1172,11887,69,3,1071,3882,364,3402,116,441,10,1009,1559,2,250,84400,2012
CASTILLA - LA MANCHA,11949,37,17,4281,2474,5157,1286,516,770,258,160,43,10,15,30,340,53616,18808,18255,3357,6711,2215,1419,873,127,205,1450,3751,1092,8840,48,3,1042,3749,418,3246,85,663,7,1021,1237,0,277,74403,2012
CATALUÑA,37270,275,74,14751,6266,15978,10819,3301,7518,1633,844,388,6,138,257,2416,379323,177583,83150,33772,23319,8,31792,77,1595,7,11227,24758,583,40860,553,28,9372,8282,2074,6033,175,3855,30,3478,4634,116,1300,453156,2012
COMUNITAT VALENCIANA,33893,114,51,12168,8319,13292,4640,1908,2732,1175,653,163,55,73,231,1018,217131,88359,59885,18383,25388,6056,10643,7154,848,1163,5986,12604,3193,35361,316,21,3956,8518,1494,6460,564,2234,55,4215,4478,5,555,277917,2012
EXTREMADURA,5312,21,13,2057,961,2273,629,262,367,134,89,20,3,5,17,248,20166,9014,5207,1129,1398,918,388,239,37,73,418,1124,400,3510,36,0,469,1480,291,1153,36,246,5,514,575,1,160,29470,2012
GALICIA,14814,46,16,5765,2435,6568,1761,658,1103,358,222,60,14,19,43,236,56690,23606,13300,3667,3845,2810,1558,877,142,340,1696,3983,1456,11394,98,7,1048,6032,432,5412,188,549,10,1048,1452,2,228,83180,2012
MADRID (COMUNIDAD DE),37374,107,48,13361,10683,13223,3846,1184,2662,1310,750,273,29,67,191,1302,329046,152503,63266,34034,14341,7457,24795,18007,2116,1929,13236,22223,4826,47782,543,49,4649,7649,1943,5448,258,2996,37,4013,5528,17,754,393872,2012
MURCIA (REGIÓN DE),9550,36,10,3545,2415,3554,1191,313,878,285,160,59,7,10,49,571,41734,17034,12954,3030,5534,1668,1787,1181,148,210,1582,2315,482,5202,50,3,807,1684,312,1330,42,542,9,971,722,2,188,57449,2012
NAVARRA (COMUNIDAD FORAL DE),2563,10,2,928,444,1181,974,176,798,111,58,14,14,3,22,87,15739,6661,3733,719,1176,545,313,178,31,56,187,1565,512,2920,8,0,352,1022,105,894,23,226,13,234,431,0,235,21635,2012
PAÍS VASCO,12425,35,12,5024,651,6715,4713,3276,1437,371,207,61,17,38,48,435,66523,27500,17519,41,4948,2823,3861,2619,515,362,811,6108,207,9493,33,3,1195,3335,394,2863,78,680,26,1458,2143,0,499,92608,2012
RIOJA (LA),1623,6,1,666,398,553,195,41,154,47,27,10,5,2,3,26,7267,3144,1931,435,628,311,242,171,22,28,126,532,123,1182,6,1,103,516,69,434,13,81,1,147,224,1,26,10154,2012
CIUDAD AUTÓNOMA DE CEUTA,812,11,0,370,118,313,175,98,77,15,14,0,0,0,1,74,3433,1243,667,385,115,87,165,141,5,5,653,137,66,486,14,0,68,1806,1417,378,11,325,2,157,174,0,79,7052,2012
CIUDAD AUTÓNOMA DE MELILLA,887,9,4,452,242,184,87,5,82,26,21,2,0,0,3,21,2770,1250,592,328,103,54,256,210,6,16,191,69,12,363,12,1,36,314,167,132,15,244,3,69,147,0,71,4639,2012
ANDALUCÍA,64275,305,85,22084,13802,28084,7145,2776,4369,1725,991,288,64,97,285,1480,295431,134955,74161,28610,17972,8025,11867,8216,602,1296,12037,15119,3609,42657,579,46,4010,19296,3513,15360,423,3265,70,6537,6492,106,1298,407120,2011
ARAGÓN,6848,14,6,2584,1913,2337,1038,463,575,271,142,55,15,24,35,139,38211,17216,8712,2546,1618,1040,1566,981,112,255,811,2222,631,7121,64,6,493,1640,318,1159,163,401,17,627,868,6,144,50210,2011
ASTURIAS (PRINCIPADO DE),6256,22,9,2416,1469,2349,532,99,433,125,71,19,8,8,19,160,18959,9322,3489,736,683,1038,643,429,57,84,664,1353,376,3195,19,2,272,1583,240,1300,43,179,7,516,766,0,75,29158,2011
BALEARS (ILLES),9608,60,12,3702,2347,3499,1590,619,971,419,238,68,15,24,74,212,57572,31650,13000,4211,2921,1945,1608,939,82,156,1861,2826,749,5573,79,10,965,2524,436,1988,100,450,24,832,1000,0,224,74455,2011
CANARIAS,21243,58,17,6839,4109,10237,2228,811,1417,529,306,93,24,27,79,919,65378,31825,14378,4939,3109,1600,2017,1226,112,264,2789,4207,1384,9131,44,4,983,4722,777,3854,91,662,16,1428,1586,19,212,98942,2011
CANTABRIA,3711,4,2,1603,572,1532,384,157,227,81,49,16,0,6,10,50,11901,5391,2560,675,543,507,323,185,24,49,330,795,231,2207,18,3,274,1098,101,981,16,159,1,327,481,3,53,18249,2011
CASTILLA Y LEÓN,14733,47,20,5702,2310,6674,1266,539,727,278,164,51,6,16,41,248,59573,27745,12460,2850,2390,2451,1276,783,106,215,1120,3618,849,12354,91,3,906,4280,407,3770,103,453,4,1105,1612,4,253,83809,2011
CASTILLA - LA MANCHA,12264,27,8,4581,2503,5153,1358,561,797,327,198,55,14,12,48,241,52494,18555,17690,3261,5728,2572,1346,804,130,191,1661,3306,861,8962,57,6,911,4315,444,3805,66,713,9,1109,1389,3,238,74460,2011
CATALUÑA,38159,242,76,15687,6365,15865,10904,3370,7534,1862,931,469,11,173,278,2087,375452,179788,83564,37019,21249,19,27961,54,1325,8,11887,17427,491,43557,670,28,10570,11715,2169,9349,197,4339,45,3724,5258,79,1247,454871,2011
COMUNITAT VALENCIANA,34817,125,46,12963,8416,13313,4863,1973,2890,1244,640,226,45,109,224,941,221719,89452,63936,21679,18988,6155,10166,5767,670,1048,7072,11011,2451,36589,283,7,3203,8729,1399,6734,596,2569,42,4337,4733,12,690,284696,2011
EXTREMADURA,5655,26,10,2150,948,2531,683,267,416,178,105,24,5,16,28,159,19568,8411,5313,1260,1030,1033,378,222,42,71,560,1005,287,3560,43,0,298,1638,313,1297,28,246,5,542,635,2,168,29479,2011
GALICIA,14957,53,14,5977,2525,6402,1807,784,1023,398,240,63,6,26,63,169,54185,22464,12513,3384,2875,2582,1364,692,120,299,1750,3383,1070,11670,116,0,925,6888,460,6256,172,540,22,1120,1523,9,197,81815,2011
MADRID (COMUNIDAD DE),38965,95,46,14689,10587,13594,4105,1384,2721,1443,799,306,16,91,231,1174,325156,153109,65192,36153,11279,7016,21619,15033,1576,1776,13571,20151,3665,47421,470,30,3593,7342,2112,4976,254,3737,28,4387,5948,15,729,393029,2011
MURCIA (REGIÓN DE),10017,39,10,3727,2478,3773,1294,389,905,316,186,62,3,14,51,505,41304,16390,13165,3883,4228,1454,1723,946,121,248,1747,1914,306,5622,58,5,680,1748,305,1375,68,620,3,931,898,1,245,57882,2011
NAVARRA (COMUNIDAD FORAL DE),2961,16,5,1040,456,1449,711,146,565,113,67,18,6,7,15,105,14576,6124,3667,690,868,601,175,95,10,32,216,1262,310,2874,4,0,254,1194,146,1025,23,264,21,230,357,8,240,20780,2011
PAÍS VASCO,12633,50,12,5419,707,6457,4679,3144,1535,435,265,50,10,46,64,380,63215,26242,17473,49,4787,2781,2888,1940,322,392,974,4755,141,9779,17,8,1079,3568,384,3135,49,702,18,1357,2161,2,417,89567,2011
RIOJA (LA),1625,7,2,760,362,496,150,31,119,62,41,11,2,5,3,18,7007,2855,1967,405,327,261,224,111,20,51,149,475,64,1214,10,1,112,618,62,546,10,93,0,141,263,0,21,9998,2011
CIUDAD AUTÓNOMA DE CEUTA,783,11,4,395,54,323,203,162,41,13,10,1,0,0,2,39,2860,1081,479,281,79,62,168,125,16,6,463,117,63,485,6,1,60,1741,1413,326,2,339,4,84,155,10,63,6294,2011
CIUDAD AUTÓNOMA DE MELILLA,948,7,0,478,259,204,95,3,92,34,25,2,1,0,6,27,2917,1181,774,474,90,91,240,182,3,15,260,67,22,336,11,3,45,347,198,137,12,248,2,67,187,3,67,4942,2011
ANDALUCÍA,63795,276,78,22742,12849,27928,6570,2488,4082,1768,959,279,75,138,317,1405,303476,136528,79070,25045,20541,10205,12194,8925,670,1699,14065,12900,3433,44486,809,49,3375,16049,3019,12409,621,2638,101,5957,6181,78,1378,409396,2010
ARAGÓN,6752,23,10,2658,1513,2558,966,418,548,310,168,65,7,29,41,140,39806,17195,9835,2003,2184,1686,1620,1102,102,256,1017,1862,536,7686,101,3,487,1380,311,907,162,331,11,593,772,3,150,51214,2010
ASTURIAS (PRINCIPADO DE),6171,37,19,2315,1342,2477,660,208,452,153,76,25,6,25,21,117,18724,8721,4028,797,770,1122,612,396,46,114,665,1125,320,3294,32,1,246,1194,154,994,46,129,2,519,708,2,102,28481,2010
BALEARS (ILLES),8938,41,6,3358,2137,3402,1515,592,923,426,213,65,16,43,89,161,54693,28551,13221,2774,3476,2468,1476,1031,73,189,1970,2634,546,5763,89,10,979,2078,320,1638,120,388,20,888,854,1,200,70162,2010
CANARIAS,21268,61,17,7562,3512,10133,2133,967,1166,598,283,165,29,51,70,836,61351,29107,13784,3573,3750,2204,1944,1321,124,281,2929,3335,978,9348,61,2,841,4187,799,3267,121,439,22,1312,1643,5,171,93965,2010
CANTABRIA,3564,7,2,1519,562,1476,375,188,187,106,44,22,5,16,19,56,11770,5194,2547,383,604,641,397,277,27,70,396,681,210,2286,31,16,222,777,102,637,38,104,3,246,412,1,73,17487,2010
CASTILLA Y LEÓN,14241,38,10,5484,2214,6505,1260,569,691,295,155,41,7,34,58,229,61232,28537,13339,2862,2802,2865,1321,818,110,273,1410,3173,845,12712,78,5,657,3843,339,3375,129,432,12,1130,1539,2,294,84509,2010
CASTILLA - LA MANCHA,12305,44,12,4506,2635,5120,1099,494,605,307,174,47,10,24,52,222,50702,17432,17045,2249,5049,2867,1220,772,95,226,1876,2754,689,9568,81,6,720,3775,409,3269,97,550,7,1149,1275,1,211,71603,2010
CATALUÑA,37650,270,97,15552,6481,15347,10503,3878,6625,1825,823,495,59,157,291,1800,388023,181198,93702,44719,21337,26,25154,63,1344,10,12538,16275,552,47961,596,21,10578,10534,1715,8624,195,4550,52,3766,4677,97,1446,464923,2010
COMUNITAT VALENCIANA,34995,106,46,12694,9012,13183,4431,1573,2858,1303,636,230,39,167,231,802,225991,90667,67089,15266,23268,7526,10385,7295,646,1288,8033,9050,2269,37604,494,11,2658,7933,1409,6011,513,2259,60,4249,4383,19,733,287158,2010
EXTREMADURA,6059,15,3,2380,924,2740,570,206,364,159,85,27,8,18,21,182,20060,8710,5273,1224,1187,1080,441,275,29,100,610,907,279,3816,58,0,245,1489,253,1197,39,197,3,536,573,0,188,30016,2010
GALICIA,14617,50,17,5876,2477,6214,1750,851,899,389,213,75,10,37,54,169,51987,21461,11989,2213,2731,2756,1440,895,119,305,1934,2934,946,11332,159,2,736,5266,459,4611,196,447,17,1150,1518,5,233,77548,2010
MADRID (COMUNIDAD DE),39030,98,51,14764,10360,13808,3796,1173,2623,1339,708,298,29,90,214,726,336388,156514,70721,34265,13005,7890,20832,15318,1213,2205,13739,21502,3226,49311,819,37,2913,7563,2876,4473,214,3370,46,3802,5136,2,673,401871,2010
MURCIA (REGIÓN DE),9882,43,15,3953,2391,3495,1169,428,741,288,146,63,14,9,56,490,41988,16128,13907,2365,4972,1433,1581,1079,101,250,2393,1483,297,5869,143,7,477,1579,314,1201,64,485,10,882,822,1,173,57769,2010
NAVARRA (COMUNIDAD FORAL DE),2726,13,3,973,541,1199,675,119,556,130,95,14,6,8,7,82,13770,5834,3570,492,854,626,218,117,15,46,207,1138,280,2537,10,1,255,1059,131,878,50,259,21,235,324,3,190,19474,2010
PAÍS VASCO,11792,38,10,4968,653,6133,4257,2818,1439,417,240,47,12,77,41,337,65555,26549,20220,51,4366,2991,2791,1967,204,385,1179,3208,173,10629,26,4,949,3241,420,2777,44,543,25,1170,2405,1,432,90175,2010
RIOJA (LA),1695,6,2,847,327,515,170,37,133,49,20,14,3,7,5,31,6555,2668,2043,327,489,363,220,135,17,48,165,308,86,1066,7,2,76,519,64,436,19,54,0,137,212,0,26,9448,2010
CIUDAD AUTÓNOMA DE CEUTA,833,5,1,393,71,364,277,221,56,18,9,0,3,3,3,31,3053,983,723,497,93,49,189,141,8,13,436,96,60,553,9,0,64,1381,1116,263,2,53,2,101,160,13,52,5974,2010
CIUDAD AUTÓNOMA DE MELILLA,1011,4,0,501,252,254,126,23,103,38,16,10,1,3,8,30,2810,1043,774,427,156,79,194,171,1,8,250,68,23,438,14,0,29,304,174,121,9,42,1,70,170,0,50,4652,2010
